question_id,noise_rate,mode,m,budget,true_positives,false_positives,false_negatives,precision,recall,f1
3hop_comp_116,0.0,sell,1,200,27,0,37,1.0,0.421875,0.5934065934065934
3hop_comp_116,0.0,sell,2,200,32,0,32,1.0,0.5,0.6666666666666666
3hop_comp_116,0.0,sell,3,200,32,0,32,1.0,0.5,0.6666666666666666
3hop_comp_120,0.0,classic_lp,0,0,80,0,0,1.0,1.0,1.0
3hop_comp_120,0.0,sell,1,20,26,0,54,1.0,0.325,0.4905660377358491
3hop_comp_120,0.0,sell,2,20,36,0,44,1.0,0.45,0.6206896551724138
3hop_comp_120,0.0,sell,3,20,44,0,36,1.0,0.55,0.7096774193548387
3hop_comp_120,0.0,sell,1,200,26,0,54,1.0,0.325,0.4905660377358491
3hop_comp_120,0.0,sell,2,200,36,0,44,1.0,0.45,0.6206896551724138
3hop_comp_120,0.0,sell,3,200,44,0,36,1.0,0.55,0.7096774193548387
3hop_comp_121,0.0,classic_lp,0,0,75,0,0,1.0,1.0,1.0
3hop_comp_121,0.0,sell,1,20,16,0,59,1.0,0.21333333333333335,0.3516483516483517
3hop_comp_121,0.0,sell,2,20,30,0,45,1.0,0.4,0.5714285714285715
3hop_comp_121,0.0,sell,3,20,35,0,40,1.0,0.4666666666666667,0.6363636363636364
3hop_comp_121,0.0,sell,1,200,16,0,59,1.0,0.21333333333333335,0.3516483516483517
3hop_comp_121,0.0,sell,2,200,30,0,45,1.0,0.4,0.5714285714285715
3hop_comp_121,0.0,sell,3,200,35,0,40,1.0,0.4666666666666667,0.6363636363636364
3hop_comp_122,0.0,classic_lp,0,0,78,0,0,1.0,1.0,1.0
3hop_comp_122,0.0,sell,1,20,26,0,52,1.0,0.3333333333333333,0.5
3hop_comp_122,0.0,sell,2,20,36,0,42,1.0,0.46153846153846156,0.631578947368421
3hop_comp_122,0.0,sell,3,20,37,0,41,1.0,0.47435897435897434,0.6434782608695652
3hop_comp_122,0.0,sell,1,200,26,0,52,1.0,0.3333333333333333,0.5
3hop_comp_122,0.0,sell,2,200,36,0,42,1.0,0.46153846153846156,0.631578947368421
3hop_comp_122,0.0,sell,3,200,37,0,41,1.0,0.47435897435897434,0.6434782608695652
3hop_comp_123,0.0,classic_lp,0,0,48,0,0,1.0,1.0,1.0
3hop_comp_123,0.0,sell,1,20,15,0,33,1.0,0.3125,0.47619047619047616
3hop_comp_123,0.0,sell,2,20,20,0,28,1.0,0.4166666666666667,0.5882352941176471
3hop_comp_123,0.0,sell,3,20,20,0,28,1.0,0.4166666666666667,0.5882352941176471
3hop_comp_123,0.0,sell,1,200,15,0,33,1.0,0.3125,0.47619047619047616
3hop_comp_123,0.0,sell,2,200,20,0,28,1.0,0.4166666666666667,0.5882352941176471
3hop_comp_123,0.0,sell,3,200,20,0,28,1.0,0.4166666666666667,0.5882352941176471
3hop_comp_130,0.0,classic_lp,0,0,70,0,0,1.0,1.0,1.0
