question_id,noise_rate,mode,n_gold,n_derived_goals,true_positives,false_positives,false_negatives,precision,recall,f1
3hop_comp_36,0.7,sell,71,18,15,3,56,0.8333333333333334,0.2112676056338028,0.33707865168539325
3hop_comp_43,0.7,classic_lp,53,69,43,26,10,0.6231884057971014,0.8113207547169812,0.7049180327868851
3hop_comp_43,0.7,sell,53,17,12,5,41,0.7058823529411765,0.22641509433962265,0.34285714285714286
3hop_comp_46,0.7,classic_lp,65,66,48,18,17,0.7272727272727273,0.7384615384615385,0.732824427480916
3hop_comp_46,0.7,sell,65,21,18,3,47,0.8571428571428571,0.27692307692307694,0.41860465116279066
3hop_comp_53,0.7,classic_lp,75,77,72,5,3,0.935064935064935,0.96,0.9473684210526316
3hop_comp_53,0.7,sell,75,21,21,0,54,1.0,0.28,0.43750000000000006
3hop_comp_59,0.7,classic_lp,66,42,35,7,31,0.8333333333333334,0.5303030303030303,0.6481481481481481
3hop_comp_59,0.7,sell,66,16,12,4,54,0.75,0.18181818181818182,0.2926829268292683
3hop_comp_60,0.7,classic_lp,64,64,64,0,0,1.0,1.0,1.0
3hop_comp_60,0.7,sell,64,30,30,0,34,1.0,0.46875,0.6382978723404256
3hop_comp_64,0.7,classic_lp,61,80,55,25,6,0.6875,0.9016393442622951,0.7801418439716312
3hop_comp_64,0.7,sell,61,27,22,5,39,0.8148148148148148,0.36065573770491804,0.5
3hop_comp_67,0.7,classic_lp,75,80,67,13,8,0.8375,0.8933333333333333,0.8645161290322579
3hop_comp_67,0.7,sell,75,38,33,5,42,0.868421052631579,0.44,0.5840707964601771
3hop_comp_72,0.7,classic_lp,74,50,46,4,28,0.92,0.6216216216216216,0.7419354838709677
3hop_comp_72,0.7,sell,74,24,23,1,51,0.9583333333333334,0.3108108108108108,0.4693877551020408
3hop_comp_73,0.7,classic_lp,72,86,68,18,4,0.7906976744186046,0.9444444444444444,0.8607594936708861
3hop_comp_73,0.7,sell,72,36,28,8,44,0.7777777777777778,0.3888888888888889,0.5185185185185185
3hop_comp_75,0.7,classic_lp,71,53,41,12,30,0.7735849056603774,0.5774647887323944,0.6612903225806451
3hop_comp_75,0.7,sell,71,22,15,7,56,0.6818181818181818,0.2112676056338028,0.3225806451612903
3hop_comp_77,0.7,classic_lp,78,81,71,10,7,0.8765432098765432,0.9102564102564102,0.8930817610062893
3hop_comp_77,0.7,sell,78,24,22,2,56,0.9166666666666666,0.28205128205128205,0.4313725490196078
3hop_comp_81,0.7,classic_lp,70,74,60,14,10,0.8108108108108109,0.8571428571428571,0.8333333333333334
3hop_comp_81,0.7,sell,70,21,18,3,52,0.8571428571428571,0.2571428571428571,0.39560439560439553
3hop_comp_84,0.7,classic_lp,76,70,62,8,14,0.8857142857142857,0.8157894736842105,0.8493150684931505
3hop_comp_84,0.7,sell,76,19,19,0,57,1.0,0.25,0.4
3hop_comp_85,0.7,classic_lp,69,80,62,18,7,0.775,0.8985507246376812,0.8322147651006713
3hop_comp_85,0.7,sell,69,25,22,3,47,0.88,0.3188405797101449,0.4680851063829787
3hop_comp_86,0.7,classic_lp,77,57,54,3,23,0.9473684210526315,0.7012987012987013,0.8059701492537314
3hop_comp_86,0.7,sell,77,27,25,2,52,0.9259259259259259,0.3246753246753247,0.48076923076923084
3hop_comp_87,0.7,classic_lp,79,84,74,10,5,0.8809523809523809,0.9367088607594937,0.9079754601226993
3hop_comp_87,0.7,sell,79,41,40,1,39,0.975609756097561,0.5063291139240507,0.6666666666666667
3hop_comp_94,0.7,classic_lp,56,63,40,23,16,0.6349206349206349,0.7142857142857143,0.6722689075630252
3hop_comp_94,0.7,sell,56,18,10,8,46,0.5555555555555556,0.17857142857142858,0.2702702702702703
3hop_comp_96,0.7,classic_lp,69,87,69,18,0,0.7931034482758621,1.0,0.8846153846153846
3hop_comp_96,0.7,sell,69,29,27,2,42,0.9310344827586207,0.391304347826087,0.5510204081632654
3hop_comp_100,0.7,classic_lp,52,42,23,19,29,0.5476190476190477,0.4423076923076923,0.4893617021276596
3hop_comp_100,0.7,sell,52,17,6,11,46,0.35294117647058826,0.11538461538461539,0.1739130434782609
3hop_comp_103,0.7,classic_lp,51,76,48,28,3,0.631578947368421,0.9411764705882353,0.7559055118110236
3hop_comp_103,0.7,sell,51,19,13,6,38,0.6842105263157895,0.2549019607843137,0.37142857142857144
3hop_comp_105,0.7,classic_lp,75,66,57,9,18,0.8636363636363636,0.76,0.8085106382978724
3hop_comp_105,0.7,sell,75,23,21,2,54,0.9130434782608695,0.28,0.42857142857142866
3hop_comp_108,0.7,classic_lp,76,77,65,12,11,0.8441558441558441,0.8552631578947368,0.8496732026143792
3hop_comp_108,0.7,sell,76,28,25,3,51,0.8928571428571429,0.32894736842105265,0.48076923076923084
3hop_comp_109,0.7,classic_lp,78,84,74,10,4,0.8809523809523809,0.9487179487179487,0.9135802469135802
3hop_comp_109,0.7,sell,78,26,24,2,54,0.9230769230769231,0.3076923076923077,0.4615384615384615
3hop_comp_110,0.7,classic_lp,55,66,45,21,10,0.6818181818181818,0.8181818181818182,0.7438016528925621
3hop_comp_110,0.7,sell,55,18,10,8,45,0.5555555555555556,0.18181818181818182,0.273972602739726
3hop_comp_112,0.7,classic_lp,37,59,37,22,0,0.6271186440677966,1.0,0.7708333333333333
3hop_comp_112,0.7,sell,37,19,15,4,22,0.7894736842105263,0.40540540540540543,0.5357142857142857
3hop_comp_115,0.7,classic_lp,69,65,54,11,15,0.8307692307692308,0.782608695652174,0.8059701492537313
3hop_comp_115,0.7,sell,69,23,20,3,49,0.8695652173913043,0.2898550724637681,0.4347826086956521
3hop_comp_116,0.7,classic_lp,64,63,46,17,18,0.7301587301587301,0.71875,0.7244094488188977
3hop_comp_116,0.7,sell,64,31,24,7,40,0.7741935483870968,0.375,0.5052631578947367
3hop_comp_120,0.7,classic_lp,80,75,68,7,12,0.9066666666666666,0.85,0.8774193548387097
3hop_comp_120,0.7,sell,80,26,25,1,55,0.9615384615384616,0.3125,0.4716981132075471
3hop_comp_121,0.7,classic_lp,75,71,64,7,11,0.9014084507042254,0.8533333333333334,0.8767123287671234
3hop_comp_121,0.7,sell,75,18,12,6,63,0.6666666666666666,0.16,0.25806451612903225
3hop_comp_122,0.7,classic_lp,78,75,65,10,13,0.8666666666666667,0.8333333333333334,0.8496732026143791
3hop_comp_122,0.7,sell,78,28,25,3,53,0.8928571428571429,0.32051282051282054,0.4716981132075472
3hop_comp_123,0.7,classic_lp,48,63,32,31,16,0.5079365079365079,0.6666666666666666,0.5765765765765767
3hop_comp_123,0.7,sell,48,13,9,4,39,0.6923076923076923,0.1875,0.29508196721311475
3hop_comp_130,0.7,classic_lp,70,70,70,0,0,1.0,1.0,1.0
3hop_comp_130,0.7,sell,70,18,18,0,52,1.0,0.2571428571428571,0.40909090909090906
3hop_comp_132,0.7,classic_lp,73,85,71,14,2,0.8352941176470589,0.9726027397260274,0.8987341772151899
3hop_comp_132,0.7,sell,73,26,23,3,50,0.8846153846153846,0.3150684931506849,0.46464646464646464
3hop_comp_137,0.7,classic_lp,80,83,70,13,10,0.8433734939759037,0.875,0.8588957055214724
3hop_comp_137,0.7,sell,80,30,27,3,53,0.9,0.3375,0.4909090909090909
3hop_comp_142,0.7,classic_lp,79,71,67,4,12,0.9436619718309859,0.8481012658227848,0.8933333333333333
3hop_comp_142,0.7,sell,79,29,27,2,52,0.9310344827586207,0.34177215189873417,0.5
