K,hops,mode,trace_size,verify_time_us,budget_used
5,2,classic_lp,1,6.87500141793862,0
5,2,classic_lp,1,5.875001079402864,0
5,2,classic_lp,1,8.999995770864189,0
5,2,classic_lp,1,7.709000783506781,0
5,2,classic_lp,1,7.458998879883438,0
5,2,classic_lp,1,6.624999514315277,0
5,2,classic_lp,1,7.000002369750291,0
5,2,classic_lp,1,7.415997970383614,0
5,2,classic_lp,1,6.583999493159354,0
5,2,classic_lp,1,6.87500141793862,0
5,2,classic_lp,1,6.833004590589553,0
5,2,classic_lp,1,6.333997589536011,0
5,2,classic_lp,1,6.333000783342868,0
5,2,classic_lp,1,6.083995685912669,0
5,2,classic_lp,1,8.666997018735856,0
5,2,classic_lp,1,6.417001713998616,0
5,2,classic_lp,1,6.000002031214535,0
5,2,classic_lp,1,6.709000444971025,0
5,2,classic_lp,1,5.957997927907854,0
5,2,classic_lp,1,5.832996976096183,0
5,2,classic_lp,1,5.583999154623598,0
5,2,classic_lp,1,5.542002327274531,0
5,2,classic_lp,1,5.5829950724728405,0
5,2,classic_lp,1,5.292000423651189,0
5,2,classic_lp,1,5.542002327274531,0
5,2,classic_lp,1,5.374997272156179,0
5,2,classic_lp,1,5.459005478769541,0
5,2,classic_lp,1,6.54099858365953,0
5,2,classic_lp,1,6.374997610691935,0
5,2,classic_lp,1,8.499999239575118,0
5,2,classic_lp,1,7.415997970383614,0
5,2,classic_lp,1,6.207999831531197,0
5,2,classic_lp,1,6.917005521245301,0
5,2,classic_lp,1,6.2920007621869445,0
5,2,classic_lp,1,6.624999514315277,0
5,2,classic_lp,1,5.999994755256921,0
5,2,classic_lp,1,6.250003934837878,0
5,2,classic_lp,1,5.6249991757795215,0
5,2,classic_lp,1,6.124995707068592,0
5,2,classic_lp,1,5.875001079402864,0
5,2,classic_lp,1,5.833004252053797,0
5,2,classic_lp,1,5.6249991757795215,0
5,2,classic_lp,1,6.333997589536011,0
5,2,classic_lp,1,5.791000148747116,0
